"Taxa","Prevalence","TotalAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Geobacter sulfurreducens",6,1768,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter","sulfurreducens"
"Geomonas nitrogeniifigens",6,1881,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geomonas","nitrogeniifigens"
"Geomonas oryzisoli",6,1726,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geomonas","oryzisoli"
"Geomonas sp. RF6",6,1722,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geomonas","sp. RF6"
"Geomonas subterranea",6,1577,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geomonas","subterranea"
"Geotalea daltonii",6,552,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geotalea","daltonii"
"Geotalea uraniireducens",6,1878,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geotalea","uraniireducens"
"Trichlorobacter lovleyi",6,618,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Trichlorobacter","lovleyi"
"Syntrophotalea acetylenica",6,460,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Syntrophotaleaceae","Syntrophotalea","acetylenica"
"Syntrophotalea acetylenivorans",6,297,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Syntrophotaleaceae","Syntrophotalea","acetylenivorans"
"Syntrophotalea carbinolica",6,335,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Syntrophotaleaceae","Syntrophotalea","carbinolica"
"Anaeromyxobacter dehalogenans",6,8267,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter","dehalogenans"
"Anaeromyxobacter sp. Fw109-5",6,8846,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter","sp. Fw109-5"
"Anaeromyxobacter sp. K",6,4511,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter","sp. K"
"Archangium gephyra",6,4409,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae","Archangium","gephyra"
"Archangium violaceum",6,9589,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae","Archangium","violaceum"
"Cystobacter fuscus",6,4122,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae","Cystobacter","fuscus"
"Melittangium boletus",6,3416,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae","Melittangium","boletus"
"Stigmatella aurantiaca",6,4560,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae","Stigmatella","aurantiaca"
"Haliangium ochraceum",6,7162,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Kofleriaceae","Haliangium","ochraceum"
"Labilithrix luteola",6,9186,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Labilitrichaceae","Labilithrix","luteola"
"Corallococcus coralloides",6,5578,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Corallococcus","coralloides"
"Corallococcus macrosporus",6,3552,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Corallococcus","macrosporus"
"Corallococcus sp. EGB",6,2847,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Corallococcus","sp. EGB"
"Myxococcus hansupus",6,2449,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Myxococcus","hansupus"
"Myxococcus sp. SCHIC003",6,2162,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Myxococcus","sp. SCHIC003"
"Myxococcus stipitatus",6,2263,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Myxococcus","stipitatus"
"Myxococcus xanthus",6,4865,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Myxococcus","xanthus"
"Pyxidicoccus sp. SCPEA002",6,5430,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Pyxidicoccus","sp. SCPEA002"
"Chondromyces crocatus",6,5207,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Chondromyces","crocatus"
"Pajaroellobacter abortibovis",5,172,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Pajaroellobacter","abortibovis"
"Sorangium cellulosum",6,43241,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Sorangium","cellulosum"
"Sandaracinus amylolyticus",6,15647,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Sandaracinus","amylolyticus"
"Vulgatibacter incomptus",6,3815,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Vulgatibacteraceae","Vulgatibacter","incomptus"
"Desulfobacca acetoxidans",6,286,"Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophales","Syntrophaceae","Desulfobacca","acetoxidans"
"Desulfomonile tiedjei",6,391,"Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophales","Syntrophaceae","Desulfomonile","tiedjei"
"Dissulfurimicrobium hydrothermale",4,122,"Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophales","Syntrophaceae","Dissulfurimicrobium","hydrothermale"
